Driving_mobility_score,Walking_mobility_score,Averaged_mobility_score,Number_of_cases,Country,Days_since_Janurary_22nd
103.01,97.04,100.025,1,USA,0
107.9,100.83,104.365,1,USA,1
124.7,126.67,125.685,2,USA,2
120.92,139.61,130.265,2,USA,3
87.32,89.9,88.61,5,USA,4
97.97,91.94,94.955,5,USA,5
101.54,93.97,97.755,5,USA,6
102.2,94.44,98.32,5,USA,7
107.61,99.96,103.785,5,USA,8
126.08,125.02,125.55,7,USA,9
122.32,140.8,131.56,8,USA,10
85.25,88.42,86.835,8,USA,11
98.86,92.42,95.64,11,USA,12
101.99,93.82,97.905,11,USA,13
101.77,94.52,98.145,11,USA,14
107.72,97.6,102.66,11,USA,15
124.07,122.23,123.15,11,USA,16
122.87,142.94,132.905,11,USA,17
91.58,92.83,92.205,11,USA,18
102.93,91.94,97.435,11,USA,19
106.75,96.13,101.44,12,USA,20
109.02,99.84,104.43,12,USA,21
118.36,108.3,113.33,13,USA,22
145.4,147.82,146.61,13,USA,23
132.51,158.55,145.53,13,USA,24
102.27,116.26,109.265,13,USA,25
110.78,107.52,109.15,13,USA,26
109.46,100.23,104.845,13,USA,27
110.85,103.21,107.03,13,USA,28
114.86,106.25,110.555,13,USA,29
135.85,136.41,136.13,15,USA,30
134.35,162.45,148.4,15,USA,31
99.48,106.11,102.795,15,USA,32
106.23,99.34,102.785,15,USA,33
110.27,103.03,106.65,15,USA,34
112.36,101.84,107.1,15,USA,35
118.85,107.83,113.34,16,USA,36
139.8,136.34,138.07,16,USA,37
138.41,155.82,147.115,24,USA,38
101.04,102.29,101.665,30,USA,39
107.73,99.2,103.465,53,USA,40
112.98,104.76,108.87,73,USA,41
113.05,104.61,108.83,104,USA,42
119.74,111.67,115.705,174,USA,43
139.98,133.94,136.96,222,USA,44
137.37,155.7,146.535,337,USA,45
101.64,107.77,104.705,451,USA,46
109.65,105.33,107.49,519,USA,47
111.34,103.06,107.2,711,USA,48
110.97,102.34,106.655,1109,USA,49
108.49,96.43,102.46,1561,USA,50
117.01,105.88,111.445,2157,USA,51
102.87,105.24,104.055,2870,USA,52
76.16,69.72,72.94,2968,USA,53
84.09,69.43,76.76,4360,USA,54
77.04,64.05,70.545,6141,USA,55
72.84,59.26,66.05,8917,USA,56
70.21,56.3,63.255,14157,USA,57
74.33,59.59,66.96,19479,USA,58
62.31,52.26,57.285,25825,USA,59
46.45,39.71,43.08,33761,USA,60
55.73,44.31,50.02,43850,USA,61
55.52,46.34,50.93,54112,USA,62
55.24,46.04,50.64,66055,USA,63
56.81,48.25,52.53,84091,USA,64
62.22,51.95,57.085,102276,USA,65
52.56,44.42,48.49,122069,USA,66
42.96,38.29,40.625,141205,USA,67
53.53,45.36,49.445,162707,USA,68
53.98,45.06,49.52,188724,USA,69
55.49,47.41,51.45,214205,USA,70
55.64,47.1,51.37,244610,USA,71
60.61,50.2,55.405,276547,USA,72
52.22,45.77,48.995,309699,USA,73
42.19,38.89,40.54,337573,USA,74
53.73,46.94,50.335,367215,USA,75
55.27,48.7,51.985,397992,USA,76
56.21,48.77,52.49,429686,USA,77
56.9,46.28,51.59,464442,USA,78
63.87,51.97,57.92,497943,USA,79
57.51,50.69,54.1,527969,USA,80
37.42,34.2,35.81,556522,USA,81
54.98,44.06,49.52,581813,USA,82
59.3,48.68,53.99,608878,USA,83
112.78,100.02,106.4,1,South Korea,0
134.89,102.91,118.9,1,South Korea,1
132.5,103.55,118.025,2,South Korea,2
133.36,112.88,123.12,2,South Korea,3
119.25,105.85,112.55,3,South Korea,4
101.94,100.29,101.115,4,South Korea,5
97.54,103.57,100.555,4,South Korea,6
95.77,99.09,97.43,4,South Korea,7
104.55,109.83,107.19,4,South Korea,8
106.2,110.04,108.12,11,South Korea,9
83.78,87.13,85.455,12,South Korea,10
80.08,78.41,79.245,15,South Korea,11
80.06,79,79.53,15,South Korea,12
77.33,74.19,75.76,16,South Korea,13
76.93,69.37,73.15,19,South Korea,14
76.81,72.17,74.49,23,South Korea,15
85.16,83.12,84.14,24,South Korea,16
79.42,80.64,80.03,24,South Korea,17
79.03,77.53,78.28,25,South Korea,18
81.57,80.29,80.93,27,South Korea,19
80.72,76.27,78.495,28,South Korea,20
84.53,81.82,83.175,28,South Korea,21
85.16,84.33,84.745,28,South Korea,22
96.68,94.45,95.565,28,South Korea,23
83.25,78.61,80.93,28,South Korea,24
76.41,67.55,71.98,29,South Korea,25
78.7,75.78,77.24,30,South Korea,26
82.67,79.84,81.255,31,South Korea,27
81.38,79.71,80.545,31,South Korea,28
79.4,75.08,77.24,104,South Korea,29
79.63,71.52,75.575,204,South Korea,30
67.53,62.77,65.15,433,South Korea,31
64.55,57.99,61.27,602,South Korea,32
62.29,51.5,56.895,833,South Korea,33
62.25,54.24,58.245,977,South Korea,34
61.46,50.56,56.01,1261,South Korea,35
55.92,41.83,48.875,1766,South Korea,36
55.41,40.67,48.04,2337,South Korea,37
51.12,38.09,44.605,3150,South Korea,38
52.72,39.13,45.925,3736,South Korea,39
52.48,37.82,45.15,4335,South Korea,40
53.41,37.45,45.43,5186,South Korea,41
52.79,35.81,44.3,5621,South Korea,42
53.55,39.03,46.29,6088,South Korea,43
57.92,39.29,48.605,6593,South Korea,44
55.26,40.01,47.635,7041,South Korea,45
56.98,43.69,50.335,7314,South Korea,46
53.45,35.61,44.53,7478,South Korea,47
56.01,39.77,47.89,7513,South Korea,48
54.97,39.24,47.105,7755,South Korea,49
55.19,43.04,49.115,7869,South Korea,50
60.69,43.48,52.085,7979,South Korea,51
54.44,39.21,46.825,8086,South Korea,52
53.37,37.78,45.575,8162,South Korea,53
52.49,37.25,44.87,8236,South Korea,54
54.39,39.14,46.765,8320,South Korea,55
53.18,37.37,45.275,8413,South Korea,56
54.92,39.5,47.21,8565,South Korea,57
65.77,49.45,57.61,8652,South Korea,58
59.72,45.47,52.595,8799,South Korea,59
55.75,43.47,49.61,8961,South Korea,60
56.17,41.14,48.655,8961,South Korea,61
56.38,42.81,49.595,9037,South Korea,62
55.21,40.62,47.915,9137,South Korea,63
54.29,39.1,46.695,9241,South Korea,64
62.41,45.8,54.105,9332,South Korea,65
60.07,44.31,52.19,9478,South Korea,66
56.55,42.05,49.3,9583,South Korea,67
56.24,41.88,49.06,9661,South Korea,68
58.4,43.68,51.04,9786,South Korea,69
59.07,42.13,50.6,9887,South Korea,70
59.06,44.39,51.725,9976,South Korea,71
71.97,50.92,61.445,10062,South Korea,72
65.09,43.89,54.49,10156,South Korea,73
58.14,43.4,50.77,10237,South Korea,74
60.28,40.23,50.255,10284,South Korea,75
59.74,41.09,50.415,10331,South Korea,76
59.07,41.29,50.18,10384,South Korea,77
58.76,44.61,51.685,10423,South Korea,78
69.49,51.64,60.565,10450,South Korea,79
60.85,42.6,51.725,10480,South Korea,80
57.41,41.57,49.49,10512,South Korea,81
59.57,42.92,51.245,10537,South Korea,82
68.22,54.34,61.28,10564,South Korea,83
109.24,106.95,108.095,0,New Zealand,0
128.77,110.06,119.415,0,New Zealand,1
115.17,112.21,113.69,0,New Zealand,2
100.11,102.89,101.5,0,New Zealand,3
103.33,94.75,99.04,0,New Zealand,4
102.37,104.44,103.405,0,New Zealand,5
102.63,103.34,102.985,0,New Zealand,6
103.61,104.18,103.895,0,New Zealand,7
110.78,105.46,108.12,0,New Zealand,8
105.37,110.03,107.7,0,New Zealand,9
91.13,94.23,92.68,0,New Zealand,10
98.12,99.42,98.77,0,New Zealand,11
108.51,110.2,109.355,0,New Zealand,12
119.93,110.08,115.005,0,New Zealand,13
100.48,97.64,99.06,0,New Zealand,14
112.09,115.26,113.675,0,New Zealand,15
107.56,109.69,108.625,0,New Zealand,16
104.48,101.32,102.9,0,New Zealand,17
104.59,109.78,107.185,0,New Zealand,18
110.32,111.25,110.785,0,New Zealand,19
112.65,113.32,112.985,0,New Zealand,20
114.02,117.95,115.985,0,New Zealand,21
135.42,127.72,131.57,0,New Zealand,22
118.38,131.05,124.715,0,New Zealand,23
103.9,115.87,109.885,0,New Zealand,24
107.75,116.79,112.27,0,New Zealand,25
110.15,116.44,113.295,0,New Zealand,26
112.45,119.24,115.845,0,New Zealand,27
115.93,119.77,117.85,0,New Zealand,28
127.27,125.97,126.62,0,New Zealand,29
116.53,134.07,125.3,0,New Zealand,30
105.16,126.18,115.67,0,New Zealand,31
103.24,120.35,111.795,0,New Zealand,32
108.05,120.96,114.505,0,New Zealand,33
110.38,121.2,115.79,0,New Zealand,34
112.87,121.24,117.055,0,New Zealand,35
120.26,124.22,122.24,0,New Zealand,36
111.59,126.98,119.285,1,New Zealand,37
98.86,104.86,101.86,1,New Zealand,38
97.36,109.21,103.285,1,New Zealand,39
101.53,106.72,104.125,1,New Zealand,40
104.21,106.18,105.195,1,New Zealand,41
105.76,111.45,108.605,3,New Zealand,42
117.9,117.8,117.85,3,New Zealand,43
111.65,127.14,119.395,4,New Zealand,44
97.25,110.31,103.78,5,New Zealand,45
97.97,95.41,96.69,5,New Zealand,46
97.82,98.57,98.195,5,New Zealand,47
101,99.72,100.36,5,New Zealand,48
101.58,101.42,101.5,5,New Zealand,49
110.32,109,109.66,5,New Zealand,50
103.76,109.03,106.395,5,New Zealand,51
87.15,88.34,87.745,6,New Zealand,52
84,81.03,82.515,8,New Zealand,53
79.91,76.32,78.115,8,New Zealand,54
80.12,77.25,78.685,12,New Zealand,55
76.21,69.39,72.8,20,New Zealand,56
80.46,70.28,75.37,28,New Zealand,57
68.01,65.76,66.885,39,New Zealand,58
55.18,53.25,54.215,52,New Zealand,59
62.7,48.73,55.715,102,New Zealand,60
61.24,46.54,53.89,102,New Zealand,61
47.6,39.75,43.675,155,New Zealand,62
15.98,24.38,20.18,205,New Zealand,63
14.39,22.45,18.42,283,New Zealand,64
11.5,24.13,17.815,368,New Zealand,65
11.1,24.91,18.005,451,New Zealand,66
14.53,23.54,19.035,514,New Zealand,67
15.58,27.85,21.715,589,New Zealand,68
16.47,27.22,21.845,647,New Zealand,69
16.2,26.67,21.435,708,New Zealand,70
16.41,25.54,20.975,797,New Zealand,71
13.63,27.65,20.64,868,New Zealand,72
12.7,28.27,20.485,950,New Zealand,73
16.14,23.51,19.825,1039,New Zealand,74
17.09,24.63,20.86,1106,New Zealand,75
18.02,23.89,20.955,1160,New Zealand,76
19.08,23.23,21.155,1210,New Zealand,77
12.05,27.29,19.67,1239,New Zealand,78
15.28,28.19,21.735,1283,New Zealand,79
11.66,22.94,17.3,1312,New Zealand,80
12.05,19.32,15.685,1330,New Zealand,81
16.53,19.67,18.1,1349,New Zealand,82
16.98,19.63,18.305,1366,New Zealand,83